id_uzemi,cis,kodzaz,typuz_naz,nazev,kodnuts,id_orp,id_okres,id_kraj
"CR_19","97","19","st·t","»esk· republika","CZ","","",""
"KRAJ_3018","100","3018","kraj","HlavnÌ mÏsto Praha","CZ010","","",""
"KRAJ_3026","100","3026","kraj","St¯edoËesk˝ kraj","CZ020","","",""
"KRAJ_3034","100","3034","kraj","JihoËesk˝ kraj","CZ031","","",""
"KRAJ_3042","100","3042","kraj","PlzeÚsk˝ kraj","CZ032","","",""
"KRAJ_3051","100","3051","kraj","Karlovarsk˝ kraj","CZ041","","",""
"KRAJ_3069","100","3069","kraj","⁄steck˝ kraj","CZ042","","",""
"KRAJ_3077","100","3077","kraj","Libereck˝ kraj","CZ051","","",""
"KRAJ_3085","100","3085","kraj","Kr·lovÈhradeck˝ kraj","CZ052","","",""
"KRAJ_3093","100","3093","kraj","Pardubick˝ kraj","CZ053","","",""
"KRAJ_3107","100","3107","kraj","Kraj VysoËina","CZ063","","",""
"KRAJ_3115","100","3115","kraj","Jihomoravsk˝ kraj","CZ064","","",""
"KRAJ_3123","100","3123","kraj","Olomouck˝ kraj","CZ071","","",""
"KRAJ_3131","100","3131","kraj","ZlÌnsk˝ kraj","CZ072","","",""
"KRAJ_3140","100","3140","kraj","Moravskoslezsk˝ kraj","CZ080","","",""
"OKRES_40169","101","40169","okres","Beneöov","CZ0201","","","KRAJ_3026"
"OKRES_40177","101","40177","okres","Beroun","CZ0202","","","KRAJ_3026"
"OKRES_40185","101","40185","okres","Kladno","CZ0203","","","KRAJ_3026"
"OKRES_40193","101","40193","okres","KolÌn","CZ0204","","","KRAJ_3026"
"OKRES_40207","101","40207","okres","Kutn· Hora","CZ0205","","","KRAJ_3026"
"OKRES_40215","101","40215","okres","MÏlnÌk","CZ0206","","","KRAJ_3026"
"OKRES_40223","101","40223","okres","Mlad· Boleslav","CZ0207","","","KRAJ_3026"
"OKRES_40231","101","40231","okres","Nymburk","CZ0208","","","KRAJ_3026"
"OKRES_40240","101","40240","okres","Praha-v˝chod","CZ0209","","","KRAJ_3026"
"OKRES_40258","101","40258","okres","Praha-z·pad","CZ020A","","","KRAJ_3026"
"OKRES_40266","101","40266","okres","P¯Ìbram","CZ020B","","","KRAJ_3026"
"OKRES_40274","101","40274","okres","RakovnÌk","CZ020C","","","KRAJ_3026"
